"","ccode1","ccode2","year","DR_at_1","DR_at_2","period","dipSym","dipSymNext","time.curr","region1","region2","sameregion","region"
"101022",290,630,1990,3,3,"3","sym","sym",60,2,4,"no",11
"101023",290,630,1995,3,3,"4","sym","sym",65,2,4,"no",11
"101024",290,630,2000,3,3,"4","sym","sym",70,2,4,"no",11
"101027",290,640,1925,2,2,"1","sym","asym",0,2,4,"no",11
"101028",290,640,1930,2,3,"1","asym","sym",0,2,4,"no",11
"101029",290,640,1935,3,3,"1","sym","sym",0,2,4,"no",11
"101030",290,640,1950,9,9,"2","sym","x",15,2,4,"no",11
"101031",290,640,1955,0,9,"2","x","sym",0,2,4,"no",11
"101032",290,640,1960,9,9,"2","sym","sym",0,2,4,"no",11
"101033",290,640,1965,9,9,"2","sym","sym",5,2,4,"no",11
"101034",290,640,1970,3,3,"3","sym","sym",10,2,4,"no",11
"101035",290,640,1975,3,3,"3","sym","sym",15,2,4,"no",11
"101036",290,640,1980,3,3,"3","sym","asym",20,2,4,"no",11
"101037",290,640,1985,3,1,"3","asym","sym",0,2,4,"no",11
"101038",290,640,1990,3,3,"3","sym","sym",0,2,4,"no",11
"101039",290,640,1995,3,3,"4","sym","sym",5,2,4,"no",11
"101040",290,640,2000,3,3,"4","sym","asym",10,2,4,"no",11
"101042",290,645,1935,0,2,"1","x","x",0,2,4,"no",11
"101046",290,645,1965,0,9,"2","x","asym",30,2,4,"no",11
"101047",290,645,1970,1,3,"3","asym","sym",0,2,4,"no",11
"101048",290,645,1975,3,3,"3","sym","sym",0,2,4,"no",11
"101049",290,645,1980,3,3,"3","sym","sym",5,2,4,"no",11
"101050",290,645,1985,3,3,"3","sym","sym",10,2,4,"no",11
"101051",290,645,1990,3,3,"3","sym","sym",15,2,4,"no",11
"101052",290,645,1995,3,3,"4","sym","sym",20,2,4,"no",11
"101053",290,645,2000,3,3,"4","sym","sym",25,2,4,"no",11
"101055",290,651,1950,9,9,"2","sym","sym",0,2,4,"no",11
"101056",290,651,1955,9,9,"2","sym","sym",5,2,4,"no",11
"101057",290,651,1960,9,9,"2","sym","sym",10,2,4,"no",11
"101058",290,651,1965,9,9,"2","sym","sym",15,2,4,"no",11
"101059",290,651,1970,3,3,"3","sym","sym",20,2,4,"no",11
"101060",290,651,1975,3,3,"3","sym","sym",25,2,4,"no",11
"101061",290,651,1980,3,3,"3","sym","sym",30,2,4,"no",11
"101062",290,651,1985,3,3,"3","sym","sym",35,2,4,"no",11
"101063",290,651,1990,3,3,"3","sym","sym",40,2,4,"no",11
"101064",290,651,1995,3,3,"4","sym","sym",45,2,4,"no",11
"101065",290,651,2000,3,3,"4","sym","sym",50,2,4,"no",11
"101068",290,652,1955,0,9,"2","x","sym",0,2,4,"no",11
"101069",290,652,1965,9,9,"2","sym","asym",0,2,4,"no",11
"101070",290,652,1970,1,3,"3","asym","sym",0,2,4,"no",11
"101071",290,652,1975,3,3,"3","sym","sym",0,2,4,"no",11
"101072",290,652,1980,3,3,"3","sym","sym",5,2,4,"no",11
"101073",290,652,1985,3,3,"3","sym","sym",10,2,4,"no",11
"101074",290,652,1990,3,3,"3","sym","sym",15,2,4,"no",11
"101075",290,652,1995,3,3,"4","sym","sym",20,2,4,"no",11
"101076",290,652,2000,3,3,"4","sym","sym",25,2,4,"no",11
"101081",290,660,1965,9,9,"2","sym","x",0,2,4,"no",11
"101082",290,660,1970,0,3,"3","x","sym",0,2,4,"no",11
"101083",290,660,1975,3,3,"3","sym","sym",0,2,4,"no",11
"101084",290,660,1980,3,3,"3","sym","x",5,2,4,"no",11
"101085",290,660,1985,0,3,"3","x","x",0,2,4,"no",11
"101086",290,660,1990,0,3,"3","x","x",5,2,4,"no",11
"101087",290,660,1995,0,1,"4","x","x",10,2,4,"no",11
"101088",290,660,2000,0,3,"4","x","sym",15,2,4,"no",11
"101093",290,663,1965,0,9,"2","x","x",0,2,4,"no",11
"101095",290,663,1975,0,3,"3","x","sym",10,2,4,"no",11
"101096",290,663,1980,3,3,"3","sym","x",0,2,4,"no",11
"101097",290,663,1985,0,1,"3","x","x",0,2,4,"no",11
"101098",290,663,1990,0,3,"3","x","x",5,2,4,"no",11
"101099",290,663,1995,0,1,"4","x","x",10,2,4,"no",11
"101100",290,663,2000,0,1,"4","x","x",15,2,4,"no",11
"101102",290,666,1950,9,0,"2","x","sym",0,2,4,"no",11
"101103",290,666,1955,9,9,"2","sym","sym",0,2,4,"no",11
"101104",290,666,1960,9,9,"2","sym","x",5,2,4,"no",11
"101105",290,666,1965,0,9,"2","x","sym",0,2,4,"no",11
"101110",290,666,1990,3,3,"3","sym","asym",0,2,4,"no",11
"101111",290,666,1995,3,1,"4","asym","asym",0,2,4,"no",11
"101112",290,666,2000,3,1,"4","asym","sym",5,2,4,"no",11
"101131",290,678,1955,9,0,"2","x","sym",0,2,4,"no",11
"101135",290,678,1975,3,3,"3","sym","sym",0,2,4,"no",11
"101136",290,678,1980,3,3,"3","sym","end",5,2,4,"no",11
"101139",290,679,1990,3,0,"3","x","sym",0,2,4,"no",11
"101140",290,679,1995,3,3,"4","sym","sym",0,2,4,"no",11
"101141",290,679,2000,3,3,"4","sym","sym",5,2,4,"no",11
"101144",290,680,1975,3,3,"3","sym","x",0,2,4,"no",11
"101145",290,680,1980,0,3,"3","x","end",0,2,4,"no",11
"101149",290,690,1970,0,3,"3","x","asym",0,2,4,"no",11
"101150",290,690,1975,3,1,"3","asym","sym",0,2,4,"no",11
"101151",290,690,1980,3,3,"3","sym","x",0,2,4,"no",11
"101152",290,690,1985,0,3,"3","x","x",0,2,4,"no",11
"101153",290,690,1990,0,3,"3","x","x",5,2,4,"no",11
"101154",290,690,1995,0,3,"4","x","x",10,2,4,"no",11
"101155",290,690,2000,0,3,"4","x","x",15,2,4,"no",11
"101174",290,696,1990,0,1,"3","x","x",0,2,4,"no",11
"101175",290,696,1995,0,3,"4","x","x",5,2,4,"no",11
"101176",290,696,2000,0,1,"4","x","x",10,2,4,"no",11
"101188",290,700,1935,2,0,"1","x","x",0,2,5,"no",12
"101189",290,700,1950,0,9,"2","x","x",15,2,5,"no",12
"101191",290,700,1960,9,0,"2","x","sym",25,2,5,"no",12
"101192",290,700,1965,9,9,"2","sym","sym",0,2,5,"no",12
"101193",290,700,1970,3,3,"3","sym","sym",5,2,5,"no",12
"101194",290,700,1975,3,3,"3","sym","sym",10,2,5,"no",12
"101195",290,700,1980,3,3,"3","sym","sym",15,2,5,"no",12
"101196",290,700,1985,3,3,"3","sym","sym",20,2,5,"no",12
"101197",290,700,1990,3,3,"3","sym","asym",25,2,5,"no",12
"101198",290,700,1995,3,1,"4","asym","asym",0,2,5,"no",12
"101199",290,700,2000,3,1,"4","asym","asym",5,2,5,"no",12
"101213",290,705,1995,0,3,"4","x","x",0,2,5,"no",12
"101214",290,705,2000,0,3,"4","x","sym",5,2,5,"no",12
"101219",290,710,1935,2,2,"1","sym","x",0,2,5,"no",12
"101220",290,710,1950,9,0,"2","x","x",0,2,5,"no",12
"101221",290,710,1955,0,9,"2","x","x",5,2,5,"no",12
"101222",290,710,1960,9,0,"2","x","x",10,2,5,"no",12
"101223",290,710,1965,9,0,"2","x","sym",15,2,5,"no",12
"101224",290,710,1970,3,3,"3","sym","sym",0,2,5,"no",12
"101225",290,710,1975,3,3,"3","sym","sym",5,2,5,"no",12
"101226",290,710,1980,3,3,"3","sym","sym",10,2,5,"no",12
"101227",290,710,1985,3,3,"3","sym","sym",15,2,5,"no",12
"101228",290,710,1990,3,3,"3","sym","sym",20,2,5,"no",12
"101229",290,710,1995,3,3,"4","sym","sym",25,2,5,"no",12
"101230",290,710,2000,3,3,"4","sym","sym",30,2,5,"no",12
"101236",290,712,1955,9,0,"2","x","x",0,2,5,"no",12
"101237",290,712,1960,9,0,"2","x","x",5,2,5,"no",12
"101238",290,712,1965,0,9,"2","x","asym",10,2,5,"no",12
"101239",290,712,1970,3,9,"3","asym","sym",0,2,5,"no",12
"101240",290,712,1975,3,3,"3","sym","sym",0,2,5,"no",12
"101241",290,712,1980,3,3,"3","sym","sym",5,2,5,"no",12
"101242",290,712,1985,3,3,"3","sym","sym",10,2,5,"no",12
"101243",290,712,1990,3,3,"3","sym","x",15,2,5,"no",12
"101244",290,712,1995,3,0,"4","x","sym",0,2,5,"no",12
"101260",290,731,1955,0,9,"2","x","x",0,2,5,"no",12
"101261",290,731,1960,0,9,"2","x","x",5,2,5,"no",12
"101262",290,731,1965,0,9,"2","x","x",10,2,5,"no",12
"101264",290,731,1975,3,0,"3","x","sym",20,2,5,"no",12
"101265",290,731,1980,3,3,"3","sym","sym",0,2,5,"no",12
"101266",290,731,1985,3,3,"3","sym","sym",5,2,5,"no",12
"101267",290,731,1990,3,3,"3","sym","asym",10,2,5,"no",12
"101268",290,731,1995,3,1,"4","asym","asym",0,2,5,"no",12
"101269",290,731,2000,3,1,"4","asym","sym",5,2,5,"no",12
"101279",290,732,1990,3,0,"3","x","sym",0,2,5,"no",12
"101280",290,732,1995,3,3,"4","sym","sym",0,2,5,"no",12
"101281",290,732,2000,3,3,"4","sym","sym",5,2,5,"no",12
"101283",290,740,1920,0,2,"1","x","sym",0,2,5,"no",12
"101284",290,740,1925,2,2,"1","sym","sym",0,2,5,"no",12
"101285",290,740,1930,2,2,"1","sym","sym",5,2,5,"no",12
"101286",290,740,1935,2,2,"1","sym","x",10,2,5,"no",12
"101288",290,740,1960,9,0,"2","x","sym",0,2,5,"no",12
"101289",290,740,1965,9,9,"2","sym","sym",0,2,5,"no",12
"101290",290,740,1970,3,3,"3","sym","sym",5,2,5,"no",12
"101291",290,740,1975,3,3,"3","sym","sym",10,2,5,"no",12
"101292",290,740,1980,3,3,"3","sym","sym",15,2,5,"no",12
"101293",290,740,1985,3,3,"3","sym","sym",20,2,5,"no",12
"101294",290,740,1990,3,3,"3","sym","sym",25,2,5,"no",12
"101295",290,740,1995,3,3,"4","sym","sym",30,2,5,"no",12
"101296",290,740,2000,3,3,"4","sym","sym",35,2,5,"no",12
"101299",290,750,1955,9,9,"2","sym","x",0,2,5,"no",12
"101300",290,750,1960,9,0,"2","x","x",0,2,5,"no",12
"101301",290,750,1965,0,9,"2","x","asym",5,2,5,"no",12
"101302",290,750,1970,1,3,"3","asym","sym",0,2,5,"no",12
"101303",290,750,1975,3,3,"3","sym","sym",0,2,5,"no",12
"101304",290,750,1980,3,3,"3","sym","sym",5,2,5,"no",12
"101305",290,750,1985,3,3,"3","sym","sym",10,2,5,"no",12
"101306",290,750,1990,3,3,"3","sym","sym",15,2,5,"no",12
"101307",290,750,1995,3,3,"4","sym","sym",20,2,5,"no",12
"101308",290,750,2000,3,3,"4","sym","sym",25,2,5,"no",12
"101318",290,770,1955,9,9,"2","sym","sym",0,2,5,"no",12
"101320",290,770,1965,9,9,"2","sym","x",10,2,5,"no",12
"101321",290,770,1970,1,0,"3","x","sym",0,2,5,"no",12
"101322",290,770,1975,3,3,"3","sym","sym",0,2,5,"no",12
"101323",290,770,1980,3,3,"3","sym","sym",5,2,5,"no",12
"101324",290,770,1985,3,3,"3","sym","sym",10,2,5,"no",12
"101325",290,770,1990,3,3,"3","sym","sym",15,2,5,"no",12
"101326",290,770,1995,3,3,"4","sym","asym",20,2,5,"no",12
"101327",290,770,2000,3,1,"4","asym","sym",0,2,5,"no",12
"101329",290,771,1975,3,3,"3","sym","sym",0,2,5,"no",12
"101330",290,771,1980,3,3,"3","sym","sym",5,2,5,"no",12
"101331",290,771,1985,1,1,"3","sym","sym",10,2,5,"no",12
"101332",290,771,1990,3,3,"3","sym","asym",15,2,5,"no",12
"101333",290,771,1995,3,1,"4","asym","asym",0,2,5,"no",12
"101334",290,771,2000,3,1,"4","asym","x",5,2,5,"no",12
"101339",290,775,1965,9,9,"2","sym","x",0,2,5,"no",12
"101340",290,775,1970,3,0,"3","x","x",0,2,5,"no",12
"101341",290,775,1975,3,0,"3","x","sym",5,2,5,"no",12
"101342",290,775,1980,3,3,"3","sym","end",0,2,5,"no",12
"101350",290,780,1960,9,0,"2","x","sym",0,2,5,"no",12
"101351",290,780,1965,9,9,"2","sym","x",0,2,5,"no",12
"101352",290,780,1970,3,0,"3","x","sym",0,2,5,"no",12
"101353",290,780,1975,3,3,"3","sym","asym",0,2,5,"no",12
"101354",290,780,1980,3,1,"3","asym","x",0,2,5,"no",12
"101355",290,780,1985,0,1,"3","x","x",0,2,5,"no",12
"101356",290,780,1990,0,1,"3","x","x",5,2,5,"no",12
"101358",290,780,2000,0,9,"4","x","x",15,2,5,"no",12
"101375",290,790,1960,9,9,"2","sym","x",0,2,5,"no",12
"101376",290,790,1965,0,9,"2","x","x",0,2,5,"no",12
"101377",290,790,1970,3,0,"3","x","x",5,2,5,"no",12
"101378",290,790,1975,3,0,"3","x","sym",10,2,5,"no",12
"101379",290,790,1980,3,3,"3","sym","end",0,2,5,"no",12
"101394",290,800,1975,0,1,"3","x","sym",0,2,5,"no",12
"101395",290,800,1980,3,3,"3","sym","sym",0,2,5,"no",12
"101396",290,800,1985,3,3,"3","sym","sym",5,2,5,"no",12
"101397",290,800,1990,3,3,"3","sym","sym",10,2,5,"no",12
"101398",290,800,1995,3,3,"4","sym","sym",15,2,5,"no",12
"101399",290,800,2000,3,3,"4","sym","sym",20,2,5,"no",12
"101402",290,811,1960,9,9,"2","sym","x",0,2,5,"no",12
"101403",290,811,1965,0,9,"2","x","x",0,2,5,"no",12
"101404",290,811,1970,3,0,"3","x","x",5,2,5,"no",12
"101405",290,811,1975,3,0,"3","x","x",10,2,5,"no",12
"101406",290,811,1980,0,3,"3","x","x",15,2,5,"no",12
"101407",290,811,1985,0,3,"3","x","x",20,2,5,"no",12
"101408",290,811,1990,0,3,"3","x","x",25,2,5,"no",12
"101409",290,811,1995,0,3,"4","x","x",30,2,5,"no",12
"101410",290,811,2000,0,1,"4","x","x",35,2,5,"no",12
"101414",290,812,1965,9,0,"2","x","x",0,2,5,"no",12
"101415",290,812,1970,3,0,"3","x","x",5,2,5,"no",12
"101416",290,812,1975,3,0,"3","x","sym",10,2,5,"no",12
"101417",290,812,1980,3,3,"3","sym","x",0,2,5,"no",12
"101418",290,812,1985,0,3,"3","x","sym",0,2,5,"no",12
"101419",290,812,1990,3,3,"3","sym","sym",0,2,5,"no",12
"101420",290,812,1995,3,3,"4","sym","sym",5,2,5,"no",12
"101421",290,812,2000,3,3,"4","sym","asym",10,2,5,"no",12
"101423",290,816,1955,0,9,"2","x","x",0,2,5,"no",12
"101424",290,816,1960,0,9,"2","x","x",5,2,5,"no",12
"101425",290,816,1965,0,9,"2","x","x",10,2,5,"no",12
"101426",290,816,1970,3,0,"3","x","sym",15,2,5,"no",12
"101427",290,816,1975,3,3,"3","sym","sym",0,2,5,"no",12
"101428",290,816,1980,3,3,"3","sym","sym",5,2,5,"no",12
"101429",290,816,1985,3,3,"3","sym","sym",10,2,5,"no",12
"101430",290,816,1990,3,3,"3","sym","asym",15,2,5,"no",12
"101431",290,816,1995,3,1,"4","asym","sym",0,2,5,"no",12
"101432",290,816,2000,3,3,"4","sym","sym",0,2,5,"no",12
"101438",290,817,1975,3,0,"3","x","end",0,2,5,"no",12
"101442",290,820,1975,3,0,"3","x","sym",0,2,5,"no",12
"101443",290,820,1980,3,3,"3","sym","x",0,2,5,"no",12
"101444",290,820,1985,0,1,"3","x","sym",0,2,5,"no",12
"101445",290,820,1990,3,3,"3","sym","asym",0,2,5,"no",12
"101446",290,820,1995,3,1,"4","asym","sym",0,2,5,"no",12
"101447",290,820,2000,3,3,"4","sym","sym",0,2,5,"no",12
"101450",290,830,1970,0,3,"3","x","sym",0,2,5,"no",12
"101451",290,830,1975,3,3,"3","sym","sym",0,2,5,"no",12
"101452",290,830,1980,3,3,"3","sym","x",5,2,5,"no",12
"101453",290,830,1985,0,1,"3","x","x",0,2,5,"no",12
"101454",290,830,1990,0,3,"3","x","x",5,2,5,"no",12
"101455",290,830,1995,0,1,"4","x","x",10,2,5,"no",12
"101456",290,830,2000,0,1,"4","x","x",15,2,5,"no",12
"101469",290,840,1980,3,3,"3","sym","x",0,2,5,"no",12
"101471",290,840,1990,3,0,"3","x","x",0,2,5,"no",12
"101472",290,840,1995,1,0,"4","x","end",5,2,5,"no",12
"101477",290,850,1960,0,9,"2","x","sym",0,2,5,"no",12
"101478",290,850,1965,9,9,"2","sym","x",0,2,5,"no",12
"101479",290,850,1970,3,0,"3","x","x",0,2,5,"no",12
"101480",290,850,1975,3,0,"3","x","sym",5,2,5,"no",12
"101481",290,850,1980,3,3,"3","sym","sym",0,2,5,"no",12
"101482",290,850,1985,3,3,"3","sym","sym",5,2,5,"no",12
"101483",290,850,1990,3,3,"3","sym","sym",10,2,5,"no",12
"101484",290,850,1995,3,3,"4","sym","sym",15,2,5,"no",12
"101485",290,850,2000,3,3,"4","sym","sym",20,2,5,"no",12
"101497",290,900,1975,3,3,"3","sym","sym",0,2,5,"no",12
"101498",290,900,1980,3,3,"3","sym","sym",5,2,5,"no",12
"101499",290,900,1985,3,3,"3","sym","sym",10,2,5,"no",12
"101500",290,900,1990,3,3,"3","sym","sym",15,2,5,"no",12
"101501",290,900,1995,3,3,"4","sym","sym",20,2,5,"no",12
"101502",290,900,2000,3,3,"4","sym","sym",25,2,5,"no",12
"101520",290,920,1975,3,3,"3","sym","sym",0,2,5,"no",12
"101521",290,920,1980,3,3,"3","sym","x",5,2,5,"no",12
"101523",290,920,1990,0,1,"3","x","x",0,2,5,"no",12
"101524",290,920,1995,0,1,"4","x","x",5,2,5,"no",12
"101525",290,920,2000,0,3,"4","x","sym",10,2,5,"no",12
"102044",300,325,1817,2,2,"1","sym","sym",0,2,2,"yes",2
"102045",300,325,1824,2,2,"1","sym","sym",7,2,2,"yes",2
"102046",300,325,1827,2,2,"1","sym","sym",10,2,2,"yes",2
"102047",300,325,1832,2,2,"1","sym","sym",15,2,2,"yes",2
"102048",300,325,1836,2,2,"1","sym","sym",19,2,2,"yes",2
"102049",300,325,1840,2,2,"1","sym","sym",23,2,2,"yes",2
"102050",300,325,1844,2,2,"1","sym","x",27,2,2,"yes",2
"102051",300,325,1849,2,0,"1","x","x",0,2,2,"yes",2
"102052",300,325,1854,0,2,"1","x","x",5,2,2,"yes",2
"102054",300,325,1864,2,0,"1","x","sym",15,2,2,"yes",2
"102055",300,325,1869,2,2,"1","sym","sym",0,2,2,"yes",2
"102056",300,325,1874,2,2,"1","sym","sym",5,2,2,"yes",2
"102057",300,325,1879,3,3,"1","sym","sym",10,2,2,"yes",2
"102058",300,325,1884,3,3,"1","sym","sym",15,2,2,"yes",2
"102059",300,325,1889,3,3,"1","sym","sym",20,2,2,"yes",2
"102060",300,325,1894,3,3,"1","sym","sym",25,2,2,"yes",2
"102061",300,325,1899,3,3,"1","sym","sym",30,2,2,"yes",2
"102062",300,325,1904,3,3,"1","sym","sym",35,2,2,"yes",2
"102063",300,325,1909,3,3,"1","sym","sym",40,2,2,"yes",2
"102064",300,325,1914,3,3,"1","sym","end",45,2,2,"yes",2
"102065",300,327,1817,9,3,"1","asym","asym",0,2,2,"yes",2
"102066",300,327,1824,9,3,"1","asym","asym",7,2,2,"yes",2
"102067",300,327,1827,9,3,"1","asym","asym",10,2,2,"yes",2
"102068",300,327,1832,9,3,"1","asym","asym",15,2,2,"yes",2
"102069",300,327,1836,9,3,"1","asym","asym",19,2,2,"yes",2
"102070",300,327,1840,9,3,"1","asym","asym",23,2,2,"yes",2
"102071",300,327,1844,9,3,"1","asym","x",27,2,2,"yes",2
"102072",300,327,1849,0,2,"1","x","asym",0,2,2,"yes",2
"102073",300,327,1854,9,2,"1","asym","asym",0,2,2,"yes",2
"102074",300,327,1859,9,3,"1","asym","end",5,2,2,"yes",2
"102075",300,329,1817,0,2,"1","x","x",0,2,2,"yes",2
"102076",300,329,1824,0,9,"1","x","x",7,2,2,"yes",2
"102077",300,329,1827,0,2,"1","x","x",10,2,2,"yes",2
"102078",300,329,1832,0,2,"1","x","x",15,2,2,"yes",2
"102079",300,329,1836,0,2,"1","x","x",19,2,2,"yes",2
"102080",300,329,1840,0,2,"1","x","x",23,2,2,"yes",2
"102081",300,329,1844,0,2,"1","x","x",27,2,2,"yes",2
"102083",300,329,1854,0,2,"1","x","x",37,2,2,"yes",2
"102084",300,329,1859,0,2,"1","x","end",42,2,2,"yes",2
"102085",300,332,1844,0,2,"1","x","x",0,2,2,"yes",2
"102086",300,332,1849,0,9,"1","x","x",5,2,2,"yes",2
"102087",300,332,1854,0,2,"1","x","x",10,2,2,"yes",2
"102088",300,332,1859,0,1,"1","x","end",15,2,2,"yes",2
"102089",300,335,1854,0,1,"1","x","x",0,2,2,"yes",2
"102090",300,335,1859,0,2,"1","x","end",5,2,2,"yes",2
"102091",300,337,1817,0,2,"1","x","x",0,2,2,"yes",2
"102092",300,337,1824,0,2,"1","x","x",7,2,2,"yes",2
"102093",300,337,1827,0,2,"1","x","x",10,2,2,"yes",2
"102094",300,337,1832,0,2,"1","x","x",15,2,2,"yes",2
"102095",300,337,1836,0,2,"1","x","x",19,2,2,"yes",2
"102096",300,337,1840,0,2,"1","x","x",23,2,2,"yes",2
"102097",300,337,1844,0,1,"1","x","x",27,2,2,"yes",2
"102099",300,337,1854,0,2,"1","x","x",37,2,2,"yes",2
"102100",300,337,1859,0,2,"1","x","end",42,2,2,"yes",2
"102101",300,339,1914,9,9,"1","sym","end",0,2,2,"yes",2
"102102",300,345,1879,0,2,"1","x","x",0,2,2,"yes",2
"102103",300,345,1884,2,0,"1","x","sym",5,2,2,"yes",2
"102104",300,345,1889,2,2,"1","sym","sym",0,2,2,"yes",2
"102105",300,345,1894,2,2,"1","sym","sym",5,2,2,"yes",2
"102106",300,345,1899,2,2,"1","sym","sym",10,2,2,"yes",2
"102107",300,345,1904,2,2,"1","sym","x",15,2,2,"yes",2
"102108",300,345,1909,0,2,"1","x","sym",0,2,2,"yes",2
"102109",300,345,1914,2,2,"1","sym","end",0,2,2,"yes",2
"102110",300,350,1832,0,2,"1","x","sym",0,2,2,"yes",2
"102111",300,350,1836,2,2,"1","sym","x",0,2,2,"yes",2
"102112",300,350,1840,0,2,"1","x","x",0,2,2,"yes",2
"102113",300,350,1844,0,2,"1","x","sym",4,2,2,"yes",2
"102114",300,350,1849,2,2,"1","sym","x",0,2,2,"yes",2
"102115",300,350,1854,0,2,"1","x","sym",0,2,2,"yes",2
"102116",300,350,1859,2,2,"1","sym","sym",0,2,2,"yes",2
"102117",300,350,1864,2,2,"1","sym","x",5,2,2,"yes",2
"102118",300,350,1869,0,2,"1","x","sym",0,2,2,"yes",2
"102119",300,350,1874,2,2,"1","sym","sym",0,2,2,"yes",2
"102120",300,350,1879,2,2,"1","sym","sym",5,2,2,"yes",2
"102121",300,350,1884,2,2,"1","sym","sym",10,2,2,"yes",2
"102122",300,350,1889,2,2,"1","sym","x",15,2,2,"yes",2
"102123",300,350,1894,1,0,"1","x","asym",0,2,2,"yes",2
"102124",300,350,1899,1,2,"1","asym","sym",0,2,2,"yes",2
"102125",300,350,1904,2,2,"1","sym","sym",0,2,2,"yes",2
"102126",300,350,1909,2,2,"1","sym","sym",5,2,2,"yes",2
"102127",300,350,1914,2,2,"1","sym","end",10,2,2,"yes",2
"102128",300,355,1909,2,2,"1","sym","sym",0,2,2,"yes",2
"102129",300,355,1914,2,2,"1","sym","end",5,2,2,"yes",2
"102130",300,360,1879,0,2,"1","x","sym",0,2,2,"yes",2
"102131",300,360,1884,2,2,"1","sym","sym",0,2,2,"yes",2
"102132",300,360,1889,2,2,"1","sym","sym",5,2,2,"yes",2
"102133",300,360,1894,2,2,"1","sym","sym",10,2,2,"yes",2
"102134",300,360,1899,2,2,"1","sym","sym",15,2,2,"yes",2
"102135",300,360,1904,2,2,"1","sym","sym",20,2,2,"yes",2
"102136",300,360,1909,2,2,"1","sym","sym",25,2,2,"yes",2
"102137",300,360,1914,2,2,"1","sym","end",30,2,2,"yes",2
"102138",300,365,1817,2,2,"1","sym","asym",0,2,2,"yes",2
"102139",300,365,1824,1,2,"1","asym","x",0,2,2,"yes",2
"102140",300,365,1827,0,1,"1","x","sym",0,2,2,"yes",2
"102141",300,365,1832,3,3,"1","sym","sym",0,2,2,"yes",2
"102142",300,365,1836,3,3,"1","sym","sym",4,2,2,"yes",2
"102143",300,365,1840,3,3,"1","sym","asym",8,2,2,"yes",2
"102144",300,365,1844,2,3,"1","asym","asym",0,2,2,"yes",2
"102145",300,365,1849,2,3,"1","asym","sym",5,2,2,"yes",2
"102146",300,365,1854,2,2,"1","sym","asym",0,2,2,"yes",2
"102147",300,365,1859,3,2,"1","asym","asym",0,2,2,"yes",2
"102148",300,365,1864,3,1,"1","asym","asym",5,2,2,"yes",2
"102149",300,365,1869,2,1,"1","asym","sym",10,2,2,"yes",2
"102150",300,365,1874,2,2,"1","sym","sym",0,2,2,"yes",2
"102151",300,365,1879,3,3,"1","sym","sym",5,2,2,"yes",2
"102152",300,365,1884,3,3,"1","sym","sym",10,2,2,"yes",2
"102153",300,365,1889,3,3,"1","sym","sym",15,2,2,"yes",2
"102154",300,365,1894,3,3,"1","sym","asym",20,2,2,"yes",2
"102155",300,365,1899,3,2,"1","asym","sym",0,2,2,"yes",2
"102156",300,365,1904,3,3,"1","sym","sym",0,2,2,"yes",2
"102157",300,365,1909,3,3,"1","sym","sym",5,2,2,"yes",2
"102158",300,365,1914,3,3,"1","sym","end",10,2,2,"yes",2
"102159",300,380,1817,1,2,"1","asym","sym",0,2,2,"yes",2
"102160",300,380,1824,1,1,"1","sym","sym",0,2,2,"yes",2
"102161",300,380,1827,1,1,"1","sym","sym",3,2,2,"yes",2
"102162",300,380,1832,2,2,"1","sym","sym",8,2,2,"yes",2
"102163",300,380,1836,2,2,"1","sym","sym",12,2,2,"yes",2
"102164",300,380,1840,2,2,"1","sym","asym",16,2,2,"yes",2
"102165",300,380,1844,2,1,"1","asym","sym",0,2,2,"yes",2
"102166",300,380,1849,2,2,"1","sym","sym",0,2,2,"yes",2
"102167",300,380,1854,2,2,"1","sym","sym",5,2,2,"yes",2
"102168",300,380,1859,2,2,"1","sym","sym",10,2,2,"yes",2
"102169",300,380,1864,2,2,"1","sym","sym",15,2,2,"yes",2
"102170",300,380,1869,2,2,"1","sym","sym",20,2,2,"yes",2
"102171",300,380,1874,2,2,"1","sym","sym",25,2,2,"yes",2
"102172",300,380,1879,2,2,"1","sym","sym",30,2,2,"yes",2
"102173",300,380,1884,2,2,"1","sym","sym",35,2,2,"yes",2
"102174",300,380,1889,2,2,"1","sym","asym",40,2,2,"yes",2
"102175",300,380,1894,1,2,"1","asym","sym",0,2,2,"yes",2
"102176",300,380,1899,2,2,"1","sym","sym",0,2,2,"yes",2
"102177",300,380,1904,2,2,"1","sym","sym",5,2,2,"yes",2
"102178",300,380,1909,2,2,"1","sym","sym",10,2,2,"yes",2
"102179",300,380,1914,2,2,"1","sym","end",15,2,2,"yes",2
"102180",300,385,1909,2,2,"1","sym","sym",0,2,2,"yes",2
"102181",300,385,1914,2,2,"1","sym","end",5,2,2,"yes",2
"102182",300,390,1817,2,0,"1","x","sym",0,2,2,"yes",2
"102183",300,390,1824,1,1,"1","sym","sym",0,2,2,"yes",2
"102184",300,390,1827,2,2,"1","sym","sym",3,2,2,"yes",2
"102185",300,390,1832,2,2,"1","sym","sym",8,2,2,"yes",2
"102186",300,390,1836,2,2,"1","sym","asym",12,2,2,"yes",2
"102187",300,390,1840,2,1,"1","asym","asym",0,2,2,"yes",2
"102188",300,390,1844,2,1,"1","asym","sym",4,2,2,"yes",2
"102189",300,390,1849,2,2,"1","sym","sym",0,2,2,"yes",2
"102190",300,390,1854,2,2,"1","sym","sym",5,2,2,"yes",2
